Fas	Fas	NN	B-NP	B-protein	Mention 3	
but	but	CC	B-PP	O	
not	not	RB	I-PP	O	
by	by	IN	B-PP	O	
the	the	DT	B-NP	O	
antagonist	antagonist	NN	I-NP	O	
for	for	IN	B-PP	O	
ET	ET	NN	B-NP	B-protein	
(	(	(	O	I-protein	
B	B	NN	B-NP	I-protein	
)	)	)	O	I-protein	
receptors	receptor	NNS	B-NP	I-protein	
,	,	,	O	O	
BQ-788	BQ-788	NN	B-NP	B-protein	
,	,	,	O	O	
and	and	CC	O	O	
they	they	PRP	B-NP	O	
were	be	VBD	B-VP	O	
abolished	abolish	VBN	I-VP	O	
by	by	IN	B-PP	O	
removal	removal	NN	B-NP	O	
of	of	IN	B-PP	O	
extracellular	extracellular	JJ	B-NP	O	
Ca2+	Ca2+	NN	I-NP	O	
.	.	.	O	O	
The	The	DT	B-NP	O	Mention 40	
increases	increase	NNS	I-NP	O	
were	be	VBD	B-VP	O	
only	only	RB	I-VP	O	
partially	partially	RB	I-VP	O	
inhibited	inhibit	VBD	I-VP	O	
(	(	(	O	O	
to	to	TO	B-PP	O	
about	about	IN	B-NP	O	
65	65	CD	I-NP	O	
%	%	NN	I-NP	O	
of	of	IN	B-PP	O	
control	control	NN	B-NP	O	
)	)	)	O	O	
by	by	IN	B-PP	O	
nifedipine	nifedipine	NN	B-NP	O	Mention 41	
but	but	CC	O	O	
unaffected	unaffected	JJ	B-ADJP	O	
by	by	IN	B-PP	O	
any	any	DT	B-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
omega-toxins	omega-toxin	NNS	I-NP	B-protein	
.	.	.	O	O	
The	The	DT	B-NP	O	
nifedipine-resistant	nifedipine-resistant	JJ	I-NP	O	Mention 42	
increase	increase	NN	I-NP	O	
was	be	VBD	B-VP	O	
inhibited	inhibit	VBN	I-VP	O	
by	by	IN	B-PP	O	
SKF	SKF	NN	B-NP	O	Mention 43	
96365	96365	CD	I-NP	O	
(	(	(	O	O	
to	to	TO	B-PP	O	
about	about	IN	B-NP	O	
40	40	CD	I-NP	O	
%	%	NN	I-NP	O	
)	)	)	O	O	
and	and	CC	O	O	
abolished	abolish	VBN	B-VP	O	
by	by	IN	B-PP	O	
LOE	LOE	NNP	B-NP	O	
908	908	CD	I-NP	O	
alone	alone	RB	B-ADVP	O	
.	.	.	O	O	
These	These	DT	B-NP	O	
results	result	NNS	I-NP	O	
indicate	indicate	VBP	B-VP	O	
that	that	IN	B-SBAR	O	
ET-1	ET-1	NN	B-NP	B-protein	
augments	augment	VBZ	B-VP	O	
the	the	DT	B-NP	O	
release	release	NN	I-NP	O	
of	of	IN	B-PP	O	
catecholamines	catecholamine	NNS	B-NP	O	
from	from	IN	B-PP	O	
adrenal	adrenal	JJ	B-NP	B-cell_type	
chromaffin	chromaffin	NN	I-NP	I-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
through	through	IN	B-PP	O	
ET	ET	NN	B-NP	B-protein	
(	(	(	O	I-protein	
A	A	NN	B-NP	I-protein	
)	)	)	O	I-protein	
receptors	receptor	NNS	B-NP	I-protein	
,	,	,	O	O	
by	by	IN	B-PP	O	
activating	activate	VBG	B-VP	O	
two	two	CD	B-NP	O	
types	type	NNS	I-NP	O	
of	of	IN	B-PP	O	
Ca2+	Ca2+	NN	B-NP	B-protein	
entry	entry	NN	I-NP	I-protein	
channels	channel	NNS	I-NP	I-protein	
in	in	IN	B-PP	O	
addition	addition	NN	B-NP	O	
to	to	TO	B-PP	O	
L-type	L-type	JJ	B-NP	O	
VOCC	VOCC	NN	I-NP	O	
:	:	:	O	O	
one	one	CD	B-NP	O	
(	(	(	O	O	
nonselective	nonselective	JJ	B-NP	O	
cation	cation	NN	I-NP	O	
channel-1	channel-1	NN	I-NP	O	
;	;	:	O	O	
NSCC-1	NSCC-1	NN	B-NP	B-protein	
)	)	)	O	O	
is	be	VBZ	B-VP	O	
sensitive	sensitive	JJ	B-ADJP	O	
to	to	TO	B-VP	O	
LOE	LOE	VB	I-VP	O	
908	908	CD	B-NP	O	
but	but	CC	O	O	
resistant	resistant	JJ	B-ADJP	O	
to	to	TO	B-PP	O	
SKF	SKF	NN	B-NP	O	
96365	96365	CD	I-NP	O	
,	,	,	O	O	
whereas	whereas	IN	O	O	
the	the	DT	B-NP	O	
other	other	JJ	I-NP	O	
(	(	(	O	O	
NSCC-2	NSCC-2	NN	B-NP	B-protein	
)	)	)	O	O	
is	be	VBZ	B-VP	O	
sensitive	sensitive	JJ	B-ADJP	O	
to	to	TO	B-PP	O	
both	both	DT	B-NP	O	
LOE	LOE	NNP	B-NP	O	
908	908	CD	I-NP	O	
and	and	CC	O	O	
SK	SK	NNP	B-NP	O	
&	&	CC	I-NP	O	
F	F	NNP	I-NP	O	
96365	96365	CD	I-NP	O	
.	.	.	O	O	
We	We	PRP	B-NP	O	
have	have	VBP	B-VP	O	
used	use	VBN	I-VP	O	
polycyclic	polycyclic	JJ	B-NP	O	
aromatic	aromatic	JJ	I-NP	O	
hydrocarbon	hydrocarbon	NN	I-NP	O	
(	(	(	O	O	
PAH	PAH	NN	B-NP	O	
)	)	)	O	O	
alkyne	alkyne	VBP	B-VP	O	
metabolism-based	metabolism-based	JJ	B-NP	O	
inhibitors	inhibitor	NNS	I-NP	O	
to	to	TO	B-VP	O	
test	test	VB	I-VP	O	
whether	whether	IN	B-SBAR	O	
CYP1B1	CYP1B1	NN	B-NP	O	
metabolism	metabolism	NN	I-NP	O	
is	be	VBZ	B-VP	O	
linked	link	VBN	I-VP	O	
to	to	TO	B-PP	O	
aryl	aryl	NN	B-NP	B-protein	
hydrocarbon	hydrocarbon	NN	I-NP	I-protein	
receptor	receptor	NN	I-NP	I-protein	
(	(	(	O	O	
AhR	AhR	NN	B-NP	B-protein	
)	)	)	O	O	
activation	activation	NN	B-NP	O	
in	in	IN	B-PP	O	
mouse	mouse	NN	B-NP	B-cell_type	Mention 46	
embryo	embryo	NN	I-NP	I-cell_type	
fibroblasts	fibroblast	NNS	I-NP	I-cell_type	
(	(	(	O	O	
MEF	MEF	NN	B-NP	B-protein	
)	)	)	O	O	
.	.	.	O	O	
1-ethynylpyrene	1-ethynylpyrene	NN	B-NP	O	Mention 47	
(	(	(	O	O	
1EP	1EP	NN	B-NP	O	Mention 48	
)	)	)	O	O	
selectively	selectively	RB	B-ADVP	O	
inactivated	inactivate	VBD	B-VP	O	
CYP1B1	CYP1B1	NN	B-NP	O	
dimethylbenzanthracene	dimethylbenzanthracene	NN	I-NP	O	Mention 49	
(	(	(	O	O	
DMBA	DMBA	NN	B-NP	O	Mention 50	
)	)	)	O	O	
metabolism	metabolism	NN	B-NP	O	
in	in	IN	B-PP	O	
C3H10T1/2	C3H10T1/2	NN	B-NP	B-protein	Mention 51	
MEFs	MEF	NNS	I-NP	I-protein	
;	;	:	O	O	
whereas	whereas	IN	O	O	
1-	1-	NN	B-NP	O	Mention 52	
(	(	(	O	O	
1-propynyl	1-propynyl	NN	B-NP	O	
)	)	)	O	O	
pyrene	pyrene	NN	B-NP	O	
(	(	(	O	O	
1PP	1PP	NN	B-NP	O	Mention 53	
)	)	)	O	O	
preferentially	preferentially	RB	B-ADVP	O	
inhibited	inhibit	VBD	B-VP	O	
CYP1A1	CYP1A1	NN	B-NP	B-protein	Mention 54	
activity	activity	NN	I-NP	O	
in	in	IN	B-PP	O	
Hepa-1c1c7	Hepa-1c1c7	NN	B-NP	B-cell_line	Mention 55	
mouse	mouse	NN	I-NP	I-cell_line	
hepatoma	hepatoma	NN	I-NP	I-cell_line	
cells	cell	NNS	I-NP	I-cell_line	
(	(	(	O	O	
Hepa	Hepa	NN	B-NP	B-protein	
)	)	)	O	O	
.	.	.	O	O	
In	In	IN	B-PP	O	
each	each	DT	B-NP	O	Mention 56	
cell	cell	NN	I-NP	O	
type	type	NN	I-NP	O	
>	>	SYM	O	O	
90	90	CD	B-NP	O	
%	%	NN	I-NP	O	
inhibition	inhibition	NN	I-NP	O	
of	of	IN	B-PP	O	
DMBA	DMBA	NN	B-NP	O	Mention 57	
metabolism	metabolism	NN	I-NP	O	
after	after	IN	B-PP	O	
1	1	CD	B-NP	O	
h	h	NN	I-NP	O	
treatment	treatment	NN	I-NP	O	
with	with	IN	B-PP	O	
each	each	DT	B-NP	O	Mention 58	
inhibitor	inhibitor	NN	I-NP	O	
(	(	(	O	O	
0	0	CD	B-NP	O	
.	.	.	O	O	
1	1	CD	B-NP	O	
microM	microM	NN	I-NP	O	
)	)	)	O	O	
was	be	VBD	B-VP	O	
progressively	progressively	RB	I-VP	O	
reversed	reverse	VBN	I-VP	O	
and	and	CC	O	O	
then	then	RB	O	O	
increased	increase	VBD	B-VP	O	
to	to	TO	B-PP	O	
levels	level	NNS	B-NP	O	
seen	see	VBN	B-VP	O	
with	with	IN	B-PP	O	
2	2	CD	B-NP	O	
,	,	,	I-NP	O	
3	3	CD	I-NP	O	
,	,	,	I-NP	O	
7	7	CD	I-NP	O	
,	,	,	O	O	
8-tetrachlorodibenzo-p-dioxin	8-tetrachlorodibenzo-p-dioxin	NN	B-NP	O	
(	(	(	O	O	
TCDD	TCDD	NN	B-NP	O	
)	)	)	O	O	
induction	induction	NN	B-NP	O	
(	(	(	O	O	
fourfold	fourfold	JJ	B-NP	O	
stimulation	stimulation	NN	I-NP	O	
)	)	)	O	O	
.	.	.	O	O	
It	It	PRP	B-NP	O	
was	be	VBD	B-VP	O	
found	find	VBN	I-VP	O	
that	that	IN	B-SBAR	O	
0	0	CD	B-NP	O	
.	.	.	O	O	
1	1	CD	B-NP	O	
microM	microM	NN	I-NP	O	
1EP	1EP	NN	I-NP	O	
and	and	CC	O	O	
1PP	1PP	NN	B-NP	O	
maximally	maximally	RB	B-ADVP	O	
induce	induce	VBP	B-VP	O	
CYP1B1	CYP1B1	NN	B-NP	B-protein	Mention 59	
and	and	CC	I-NP	O	
CYP1A1	CYP1A1	NN	I-NP	B-RNA	
mRNA	mRNA	NN	I-NP	I-RNA	
levels	level	NNS	I-NP	O	
in	in	IN	B-PP	O	
10T1/2	10T1/2	NN	B-NP	O	
and	and	CC	I-NP	O	
Hepa	Hepa	NN	I-NP	B-cell_line	
cells	cell	NNS	I-NP	I-cell_line	
,	,	,	O	O	
respectively	respectively	RB	B-ADVP	O	
,	,	,	O	O	
after	after	IN	B-PP	O	
6	6	CD	B-NP	O	
h	h	NN	I-NP	O	
.	.	.	O	O	
1-Ethylpyrene	1-Ethylpyrene	NN	B-NP	O	Mention 60	
(	(	(	O	O	
EtP	EtP	NN	B-NP	B-protein	Mention 61	
)	)	)	O	O	
,	,	,	O	O	
which	which	WDT	B-NP	O	
lacks	lack	VBZ	B-VP	O	
the	the	DT	B-NP	O	
activatable	activatable	JJ	I-NP	O	
acetylene	acetylene	NN	I-NP	O	
moiety	moiety	NN	I-NP	O	
,	,	,	O	O	
was	be	VBD	B-VP	O	
far	far	RB	B-ADJP	O	
less	less	RBR	I-ADJP	O	
effective	effective	JJ	I-ADJP	O	
as	as	IN	B-PP	O	
an	an	DT	B-NP	O	
inhibitor	inhibitor	NN	I-NP	O	
and	and	CC	B-PP	O	
as	as	IN	B-PP	O	
an	an	DT	B-NP	O	
inducer	inducer	NN	I-NP	O	
.	.	.	O	O	
AhR	AhR	NN	B-NP	B-protein	
activation	activation	NN	I-NP	O	
is	be	VBZ	B-VP	O	
essential	essential	JJ	B-ADJP	O	
for	for	IN	B-PP	O	
1EP	1EP	NN	B-NP	O	
induction	induction	NN	I-NP	O	
as	as	IN	B-SBAR	O	
evidenced	evidence	VBN	B-VP	O	
by	by	IN	B-PP	O	
the	the	DT	B-NP	O	
use	use	NN	I-NP	O	
of	of	IN	B-PP	O	
AhR	AhR	NN	B-NP	B-protein	
antagonists	antagonist	NNS	I-NP	O	
and	and	CC	O	O	
AhR-deficient	AhR-deficient	JJ	B-NP	O	
MEFs	MEF	NNS	I-NP	O	
and	and	CC	O	O	
absence	absence	NN	B-NP	O	
of	of	IN	B-PP	O	
induction	induction	NN	B-NP	O	
following	follow	VBG	B-PP	O	
inhibition	inhibition	NN	B-NP	O	
of	of	IN	B-PP	O	
DMBA	DMBA	NN	B-NP	O	Mention 62	
metabolism	metabolism	NN	I-NP	O	
with	with	IN	B-PP	O	
carbon	carbon	NN	B-NP	O	Mention 63	
monoxide	monoxide	NN	I-NP	O	
(	(	(	O	O	
CO	CO	NN	B-NP	O	Mention 64	
)	)	)	O	O	
.	.	.	O	O	
Inhibition	Inhibition	NN	B-NP	O	
of	of	IN	B-PP	O	
CYP1B1	CYP1B1	NN	B-NP	B-protein	Mention 65	
was	be	VBD	B-VP	O	
linked	link	VBN	I-VP	O	
to	to	TO	B-PP	O	
enhanced	enhance	VBN	B-NP	O	
AhR	AhR	NN	I-NP	B-protein	
activation	activation	NN	I-NP	O	
even	even	RB	B-ADVP	O	
at	at	IN	B-PP	O	
early	early	JJ	B-NP	O	
stages	stage	NNS	I-NP	O	
prior	prior	JJ	B-ADJP	O	
to	to	TO	B-PP	O	
significant	significant	JJ	B-NP	O	
ligand	ligand	NN	I-NP	O	
depletion	depletion	NN	I-NP	O	
.	.	.	O	O	
1EP	1EP	NN	B-NP	O	
and	and	CC	I-NP	O	
EtP	EtP	NN	I-NP	B-protein	
were	be	VBD	B-VP	O	
similarly	similarly	RB	B-ADJP	O	
effective	effective	JJ	I-ADJP	O	
in	in	IN	B-PP	O	
stimulating	stimulate	VBG	B-VP	O	
AhR	AhR	NN	B-NP	B-protein	
nuclear	nuclear	JJ	I-NP	O	
translocation	translocation	NN	I-NP	O	
,	,	,	O	O	
though	though	IN	B-SBAR	O	
5-10	5-10	CD	B-NP	O	
times	time	NNS	I-NP	O	
slower	slow	JJR	I-NP	O	
compared	compare	VBN	B-PP	O	
with	with	IN	B-PP	O	
TCDD	TCDD	NN	B-NP	O	
,	,	,	O	O	
and	and	CC	O	O	
produced	produce	VBD	B-VP	O	
no	no	DT	B-NP	O	
significant	significant	JJ	I-NP	O	
down-regulation	down-regulation	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
AhR	AhR	NN	I-NP	B-protein	
.	.	.	O	O	
TCDD	TCDD	NN	B-NP	B-protein	
activated	activate	VBD	B-VP	I-protein	
AhR/Arnt	AhR/Arnt	NN	B-NP	I-protein	
complex	complex	NN	I-NP	I-protein	
formation	formation	NN	I-NP	O	
with	with	IN	B-PP	O	
an	an	DT	B-NP	O	
oligonucleotide	oligonucleotide	NN	I-NP	B-DNA	
xenobiotic	xenobiotic	JJ	I-NP	I-DNA	
response	response	NN	I-NP	I-DNA	
element	element	NN	I-NP	I-DNA	
far	far	RB	B-ADVP	O	
more	more	RBR	I-ADVP	O	
extensively	extensively	RB	I-ADVP	O	
than	than	IN	B-PP	O	
1EP	1EP	NN	B-NP	O	
or	or	CC	I-NP	O	
EtP	EtP	NN	I-NP	B-protein	
,	,	,	O	O	
even	even	RB	B-PP	O	
at	at	IN	I-PP	O	
concentrations	concentration	NNS	B-NP	O	
of	of	IN	B-PP	O	
1EP	1EP	NN	B-NP	O	
that	that	WDT	B-NP	O	
increased	increase	VBD	B-VP	O	
CYP1B1	CYP1B1	NN	B-NP	B-RNA	
mRNA	mRNA	NN	I-NP	I-RNA	
to	to	TO	B-PP	O	
similar	similar	JJ	B-NP	O	
levels	level	NNS	I-NP	O	
.	.	.	O	O	
CO	CO	NN	B-NP	O	
did	do	VBD	B-VP	O	
not	not	RB	I-VP	O	
influence	influence	VB	I-VP	O	
these	these	DT	B-NP	O	
responses	response	NNS	I-NP	O	
to	to	TO	B-PP	O	
EtP	EtP	NN	B-NP	B-protein	
,	,	,	O	O	
event	event	NN	B-NP	O	
hough	hough	NN	I-NP	O	
CO	CO	NN	I-NP	O	
treatment	treatment	NN	I-NP	O	
potentiated	potentiate	VBD	B-VP	O	
EtP	EtP	NN	B-NP	B-protein	
induction	induction	NN	I-NP	O	
of	of	IN	B-PP	O	
CYP1B1	CYP1B1	NN	B-NP	B-RNA	
mRNA	mRNA	NN	I-NP	I-RNA	
.	.	.	O	O	
These	These	DT	B-NP	O	
differences	difference	NNS	I-NP	O	
suggest	suggest	VBP	B-VP	O	
a	a	DT	B-NP	O	
fundamental	fundamental	JJ	I-NP	O	
difference	difference	NN	I-NP	O	
between	between	IN	B-PP	O	
PAH/AhR	PAH/AhR	NN	B-NP	B-protein	
and	and	CC	I-NP	O	
TCDD/AhR	TCDD/AhR	NN	I-NP	B-protein	
complexes	complex	NNS	I-NP	I-protein	
where	where	WRB	B-ADVP	O	
CYP1B1	CYP1B1	NN	B-NP	B-protein	
metabolic	metabolic	JJ	I-NP	O	
activity	activity	NN	I-NP	O	
regulates	regulate	VBZ	B-VP	O	
the	the	DT	B-NP	O	
potency	potency	NN	I-NP	O	
,	,	,	O	O	
rather	rather	RB	B-PP	O	
than	than	IN	I-PP	O	
the	the	DT	B-NP	O	
formation	formation	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
AhR/Arnt	AhR/Arnt	NN	I-NP	B-protein	
complex	complex	NN	I-NP	I-protein	
.	.	.	O	O	
Copyright	Copyright	NN	B-NP	O	
1999	1999	CD	I-NP	O	
Academic	Academic	NNP	I-NP	O	
Press	Press	NNP	I-NP	O	
.	.	.	O	O	
In	In	IN	B-PP	O	
myocardial	myocardial	JJ	B-NP	B-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
(	(	(	O	O	
MCs	MC	NNS	B-NP	B-cell_type	
)	)	)	O	O	
,	,	,	O	O	
endothelin-1	endothelin-1	NN	B-NP	B-protein	
(	(	(	O	O	
ET-1	ET-1	NN	B-NP	B-protein	
)	)	)	O	O	
exerts	exert	VBZ	B-VP	O	
various	various	JJ	B-NP	O	
effects	effect	NNS	I-NP	O	
such	such	JJ	B-PP	O	
as	as	IN	I-PP	O	
hypertrophy	hypertrophy	NN	B-NP	O	
,	,	,	O	O	
and	and	CC	O	O	
causes	cause	VBZ	B-VP	O	
cellular	cellular	JJ	B-NP	O	
injury	injury	NN	I-NP	O	
.	.	.	O	O	
Long-term	Long-term	JJ	B-NP	O	
treatment	treatment	NN	I-NP	O	
with	with	IN	B-PP	O	
an	an	DT	B-NP	O	
endothelin-A	endothelin-A	NN	I-NP	O	Mention 66	
(	(	(	O	O	
ET	ET	NN	B-NP	O	Mention 67	
(	(	(	O	O	
A	A	NN	B-NP	O	
)	)	)	O	O	
)	)	)	O	O	
receptor	receptor	NN	B-NP	O	
antagonist	antagonist	NN	I-NP	O	
improves	improve	VBZ	B-VP	O	
the	the	DT	B-NP	O	
survival	survival	NN	I-NP	O	
of	of	IN	B-PP	O	
rats	rat	NNS	B-NP	O	
with	with	IN	B-PP	O	
heart	heart	NN	B-NP	O	
failure	failure	NN	I-NP	O	
,	,	,	O	O	
suggesting	suggest	VBG	B-VP	O	
that	that	IN	B-SBAR	O	
myocardial	myocardial	JJ	B-NP	B-protein	
endothelin	endothelin	NN	I-NP	I-protein	
system	system	NN	I-NP	O	
contributes	contribute	VBZ	B-VP	O	
to	to	TO	B-PP	O	
the	the	DT	B-NP	O	
progression	progression	NN	I-NP	O	
of	of	IN	B-PP	O	
heart	heart	NN	B-NP	O	
failure	failure	NN	I-NP	O	
.	.	.	O	O	
p38	p38	NN	B-NP	B-protein	Mention 68	
mitogen-activated	mitogen-activated	JJ	I-NP	I-protein	
kinase	kinase	NN	I-NP	I-protein	
(	(	(	O	O	
MAPK	MAPK	NN	B-NP	B-protein	Mention 69	
)	)	)	O	O	
is	be	VBZ	B-VP	O	
a	a	DT	B-NP	O	
member	member	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
MAPK	MAPK	NN	I-NP	B-protein	
family	family	NN	I-NP	I-protein	
and	and	CC	O	O	
activated	activate	VBN	B-VP	O	
by	by	IN	B-PP	O	
several	several	JJ	B-NP	O	
forms	form	NNS	I-NP	O	
of	of	IN	B-PP	O	
environmental	environmental	JJ	B-NP	O	
stresses	stress	NNS	I-NP	O	
.	.	.	O	O	
We	We	PRP	B-NP	O	
show	show	VBP	B-VP	O	
here	here	RB	B-ADVP	O	
the	the	DT	B-NP	O	
effect	effect	NN	I-NP	O	
of	of	IN	B-PP	O	
ET-1	ET-1	NN	B-NP	B-protein	
on	on	IN	B-PP	O	
p38	p38	NN	B-NP	B-protein	
MAPK	MAPK	NN	I-NP	I-protein	
activation	activation	NN	I-NP	O	
and	and	CC	O	O	
the	the	DT	B-NP	O	
role	role	NN	I-NP	O	
of	of	IN	B-PP	O	
ET-1-activated	ET-1-activated	JJ	B-NP	O	
p38	p38	NN	I-NP	B-protein	
MAPK	MAPK	NN	I-NP	I-protein	
on	on	IN	B-PP	O	
morphological	morphological	JJ	B-NP	O	
changes	change	NNS	I-NP	O	
in	in	IN	B-PP	O	
MCs	MC	NNS	B-NP	B-cell_type	
.	.	.	O	O	
ET-1-stimulated	ET-1-stimulated	JJ	B-NP	O	
p38	p38	NN	I-NP	B-protein	Mention 70	
MAPK	MAPK	NN	I-NP	I-protein	
phosphorylation	phosphorylation	NN	I-NP	O	
was	be	VBD	B-VP	O	
detectable	detectable	JJ	B-ADJP	O	
within	within	IN	B-PP	O	
2	2	CD	B-NP	O	
min	min	NN	I-NP	O	
and	and	CC	O	O	
maximal	maximal	JJ	B-ADJP	O	
at	at	IN	B-PP	O	
5	5	CD	B-NP	O	
min	min	NN	I-NP	O	
and	and	CC	O	O	
was	be	VBD	B-VP	O	
concentration	concentration	NN	B-NP	O	
dependent	dependent	JJ	B-ADJP	O	
.	.	.	O	O	
The	The	DT	B-NP	O	
maximum	maximum	NN	I-NP	O	
effect	effect	NN	I-NP	O	
was	be	VBD	B-VP	O	
obtained	obtain	VBN	I-VP	O	
at	at	IN	B-PP	O	
10	10	CD	B-NP	O	
nM	nM	NN	I-NP	O	
.	.	.	O	O	
An	An	DT	B-NP	O	
ET	ET	NN	I-NP	O	Mention 71	
(	(	(	O	O	
A	A	NN	B-NP	O	
)	)	)	O	O	
receptor	receptor	NN	B-NP	O	
antagonist	antagonist	NN	I-NP	O	
,	,	,	O	O	
BQ-123	BQ-123	NN	B-NP	B-protein	Mention 72	
,	,	,	O	O	
but	but	CC	B-CONJP	O	
not	not	RB	I-CONJP	O	
an	an	DT	B-NP	O	
endothelin-B	endothelin-B	NN	I-NP	B-protein	Mention 73	
receptor	receptor	NN	I-NP	I-protein	
antagonist	antagonist	NN	I-NP	O	
,	,	,	O	O	
BQ-788	BQ-788	NN	B-NP	B-protein	Mention 74	
,	,	,	O	O	
inhibited	inhibit	VBD	B-VP	O	
these	these	DT	B-NP	O	Mention 75	
reactions	reaction	NNS	I-NP	O	
.	.	.	O	O	
A	A	DT	B-NP	O	
p38	p38	NN	I-NP	B-protein	Mention 76	
MAPK	MAPK	NN	I-NP	I-protein	
inhibitor	inhibitor	NN	I-NP	O	
,	,	,	O	O	
SB203580	SB203580	NN	B-NP	O	Mention 77	
,	,	,	O	O	
failed	fail	VBD	B-VP	O	
to	to	TO	I-VP	O	
inhibit	inhibit	VB	I-VP	O	
the	the	DT	B-NP	O	
morphological	morphological	JJ	I-NP	O	Mention 78	
changes	change	NNS	I-NP	O	
associated	associate	VBN	B-VP	O	
with	with	IN	B-PP	O	
ET-1-induced	ET-1-induced	JJ	B-NP	O	
myocardial	myocardial	JJ	I-NP	O	
cell	cell	NN	I-NP	O	
hypertrophy	hypertrophy	NN	I-NP	O	
.	.	.	O	O	
These	These	DT	B-NP	O	
results	result	NNS	I-NP	O	
indicate	indicate	VBP	B-VP	O	
that	that	IN	B-SBAR	O	
p38	p38	NN	B-NP	B-protein	
MAPK	MAPK	NN	I-NP	I-protein	
is	be	VBZ	B-VP	O	
activated	activate	VBN	I-VP	O	
by	by	IN	B-PP	O	
ET-1	ET-1	NN	B-NP	B-protein	
but	but	CC	O	O	
does	do	VBZ	B-VP	O	
not	not	RB	I-VP	O	
contribute	contribute	VB	I-VP	O	
to	to	TO	B-PP	O	
the	the	DT	B-NP	O	
development	development	NN	I-NP	O	
of	of	IN	B-PP	O	
ET-1-induced	ET-1-induced	JJ	B-NP	O	
myocardial	myocardial	JJ	I-NP	O	
cell	cell	NN	I-NP	O	
hypertrophy	hypertrophy	NN	I-NP	O	
.	.	.	O	O	
Tension	Tension	NN	B-NP	O	
and	and	CC	O	O	
phosphatidyl	phosphatidyl	JJ	B-NP	O	Mention 79	
inositol	inositol	NN	I-NP	O	
(	(	(	O	O	
PI	PI	NN	B-NP	O	Mention 80	
)	)	)	O	O	
turnover	turnover	NN	B-NP	O	
experiments	experiment	NNS	I-NP	O	
were	be	VBD	B-VP	O	
conducted	conduct	VBN	I-VP	O	
to	to	TO	B-VP	O	
investigate	investigate	VB	I-VP	O	
the	the	DT	B-NP	O	
receptors	receptor	NNS	I-NP	O	
and	and	CC	I-NP	O	
signal	signal	NN	I-NP	O	
transduction	transduction	NN	I-NP	O	
pathways	pathway	NNS	I-NP	O	
responsible	responsible	JJ	B-ADJP	O	
for	for	IN	B-PP	O	
contractions	contraction	NNS	B-NP	O	Mention 81	
elicited	elicit	VBN	B-VP	O	
by	by	IN	B-PP	O	
endothelin	endothelin	NN	B-NP	B-protein	Mention 82	
(	(	(	O	I-protein	
ET	ET	NN	B-NP	I-protein	Mention 83	
)	)	)	O	I-protein	
ligands	ligand	NNS	B-NP	I-protein	
in	in	IN	B-PP	O	
human	human	JJ	B-NP	O	
bronchus	bronchus	NN	I-NP	O	
.	.	.	O	O	
Nicardipine	Nicardipine	NN	B-NP	O	Mention 84	
(	(	(	O	O	
1	1	CD	B-NP	O	
microM	microM	NN	I-NP	O	
)	)	)	O	O	
,	,	,	O	O	
the	the	DT	B-NP	O	
L-type	L-type	JJ	I-NP	O	Mention 85	
calcium	calcium	NN	I-NP	O	
channel	channel	NN	I-NP	O	
inhibitor	inhibitor	NN	I-NP	O	
,	,	,	O	O	
or	or	CC	O	O	
incubation	incubation	NN	B-NP	O	
in	in	IN	B-PP	O	
Ca2+-free	Ca2+-free	JJ	B-NP	O	Mention 86	
medium	medium	NN	I-NP	O	
,	,	,	O	O	
produced	produce	VBD	B-VP	O	
marked	marked	JJ	B-NP	O	
inhibition	inhibition	NN	I-NP	O	
of	of	IN	B-PP	O	
contractions	contraction	NNS	B-NP	O	Mention 87	
to	to	TO	B-PP	O	
the	the	DT	B-NP	O	
ET	ET	NN	I-NP	O	
(	(	(	O	O	
B	B	NN	B-NP	O	
)	)	)	O	O	
receptor-selective	receptor-selective	JJ	B-NP	O	
agonist	agonist	NN	I-NP	O	
,	,	,	O	O	
sarafotoxin	sarafotoxin	NN	B-NP	O	
S6c	S6c	NN	I-NP	O	
,	,	,	O	O	
and	and	CC	O	O	
especially	especially	RB	B-ADVP	O	
those	those	DT	B-NP	O	Mention 88	
induced	induce	VBN	B-VP	O	
by	by	IN	B-PP	O	
KCl	KCl	NN	B-NP	B-protein	
.	.	.	O	O	
In	In	IN	B-PP	O	
contrast	contrast	NN	B-NP	O	
,	,	,	O	O	
Ca2+-free	Ca2+-free	JJ	B-NP	O	
medium	medium	NN	I-NP	O	
was	be	VBD	B-VP	O	
without	without	IN	B-PP	O	
appreciable	appreciable	JJ	B-NP	O	
effect	effect	NN	I-NP	O	
against	against	IN	B-PP	O	
contraction	contraction	NN	B-NP	O	
produced	produce	VBN	B-VP	O	
by	by	IN	B-PP	O	
endothelin-1	endothelin-1	NN	B-NP	B-protein	
(	(	(	O	O	
ET-1	ET-1	NN	B-NP	B-protein	
)	)	)	O	O	
,	,	,	O	O	
the	the	DT	B-NP	O	
non-selective	non-selective	JJ	I-NP	O	
ET	ET	NN	I-NP	O	
(	(	(	O	O	
A	A	NN	B-NP	O	
